date	Confirmed	Recovered	Deaths	Increase rate
20200122	555	28	17	
20200123	654	30	18	17.83783784
20200124	941	36	26	43.88379205
20200125	1434	39	42	52.39107333
20200126	2118	52	56	47.69874477
20200127	2927	61	82	38.19641171
20200128	5578	107	131	90.57055005
20200129	6166	126	133	10.54141269
20200130	8234	143	171	33.53876095
20200131	9927	222	213	20.56108817
20200201	12038	284	259	21.26523622
20200202	16787	472	362	39.45007476
20200203	19881	623	426	18.43092869
20200204	23892	852	492	20.1750415
20200205	27635	1124	564	15.66633183
20200206	30794	1487	634	11.43115614
20200207	34391	2011	719	11.68084692
20200208	37120	2616	806	7.935215609
20200209	40150	3244	906	8.162715517
20200210	42762	3946	1013	6.505603985
20200211	44802	4683	1113	4.770590711
20200212	45221	5150	1118	0.935226106
20200213	60368	6295	1371	33.49549988
20200214	66885	8058	1523	10.79545455
20200215	69030	9395	1666	3.206997085
20200216	71224	10865	1770	3.178328263
20200217	73258	12583	1868	2.855778951
20200218	75136	14352	2007	2.563542548
20200219	75639	16121	2122	0.669452726
20200220	76197	18177	2247	0.737714671
20200221	76819	18890	2251	0.816305104
20200222	78572	22886	2458	2.281987529
20200223	78958	23394	2469	0.491269154
20200224	79561	25227	2629	0.763697155
20200225	80406	27905	2708	1.062078154
20200226	81388	30384	2770	1.221301893
20200227	82746	33277	2814	1.668550646
20200228	84112	36711	2872	1.650835086
20200229	86011	39782	2941	2.257704014
20200301	88369	42716	2996	2.741509807
20200302	90306	45602	3085	2.191945139
20200303	92840	48228	3160	2.806015104
20200304	95120	51170	3254	2.455838001
20200305	97886	53796	3348	2.907905803
20200306	101801	55865	3460	3.999550498
20200307	105847	58358	3558	3.974420683
20200308	109821	60694	3802	3.7544758
20200309	113590	62494	3988	3.431948352
20200310	118620	64404	4262	4.428206708
20200311	125875	67003	4615	6.11616928
20200312	128352	68324	4720	1.967825223
20200313	145205	70251	5404	13.13029793
20200314	156101	72624	5819	7.503873834
20200315	167454	76034	6440	7.272855395
20200316	181574	78088	7126	8.432166446
20200317	197102	80840	7905	8.551885182
20200318	214821	83312	8733	8.989761646
20200319	242570	84975	9867	12.917266
20200320	272208	87420	11299	12.21832873
20200321	304507	91692	12973	11.86555869
20200322	336953	97899	14651	10.65525587
20200323	378231	98351	16505	12.2503732
20200324	418041	108000	18625	10.5253139
20200325	467653	113787	21181	11.86773546
20200326	529591	122150	23970	13.24443551
20200327	593291	130915	27198	12.02815003
20200328	660693	139415	30652	11.36069821
20200329	720140	149082	33925	8.997673655
20200330	782389	164566	37582	8.644013664
20200331	857487	178034	42108	9.598550082
20200401	932475	193177	47183	8.745088847
20200402	1013326	210263	52986	8.670580981
20200403	1095698	225796	58790	8.128874617
20200404	1175857	246152	64607	7.31579322
20200405	1249484	260012	69374	6.261560717
20200406	1321131	276515	74565	5.734127048
20200407	1396092	300054	81937	5.674002048
20200408	1479804	328661	88347	5.996166442
20200409	1565278	353975	95521	5.776035205
20200410	1657526	376096	102534	5.893394017
20200411	1735650	402110	108511	4.713289565
20200412	1834721	421722	114100	5.708005646
20200413	1904838	448655	119491	3.821670979
20200414	1976191	474261	125995	3.745882852
20200415	2056054	511019	134189	4.04125917
20200416	2152437	542107	143814	4.687765983
20200417	2240190	568343	153835	4.076913749
20200418	2317758	592319	159509	3.462563443
20200419	2401101	623903	165043	3.59584564
20200420	2472258	645738	169985	2.963515487
20200421	2549122	679819	176582	3.109060624
20200422	2624089	709694	183064	2.940894943
